fixture_id,date,status,round,league_id,league_name,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,ht_home,ht_away
1528320,2026-03-11T20:00:00+00:00,FT,Round of 16,2,Champions League,Paris Saint Germain,85,Chelsea,49,5,2,2,1
1528325,2026-03-11T20:00:00+00:00,FT,Round of 16,2,Champions League,Bodo/Glimt,327,Sporting CP,228,3,0,2,0
1528318,2026-03-11T20:00:00+00:00,FT,Round of 16,2,Champions League,Real Madrid,541,Manchester City,50,3,0,3,0
1528322,2026-03-11T17:45:00+00:00,FT,Round of 16,2,Champions League,Bayer Leverkusen,168,Arsenal,42,1,1,0,0
1528319,2026-03-10T20:00:00+00:00,FT,Round of 16,2,Champions League,Newcastle,34,Barcelona,529,1,1,0,0
1528324,2026-03-10T20:00:00+00:00,FT,Round of 16,2,Champions League,Atalanta,499,Bayern München,157,1,6,0,3
1528323,2026-03-10T20:00:00+00:00,FT,Round of 16,2,Champions League,Atletico Madrid,530,Tottenham,47,5,2,4,1
1528321,2026-03-10T17:45:00+00:00,FT,Round of 16,2,Champions League,Galatasaray,645,Liverpool,40,1,0,1,0
1515528,2026-02-25T20:00:00+00:00,FT,Round of 32,2,Champions League,Paris Saint Germain,85,Monaco,91,2,2,0,1
1515529,2026-02-25T20:00:00+00:00,FT,Round of 32,2,Champions League,Real Madrid,541,Benfica,211,2,1,1,1
1515545,2026-02-26T20:00:00+00:00,FT,Round of 32,3,Europa League,Nottingham Forest,65,Fenerbahçe,611,1,2,0,1
1515542,2026-02-26T20:00:00+00:00,FT,Round of 32,3,Europa League,Bologna,500,Brann,319,1,0,0,0
1515543,2026-02-26T20:00:00+00:00,FT,Round of 32,3,Europa League,Celta Vigo,538,PAOK,619,1,0,0,0
1515541,2026-02-26T17:45:00+00:00,FT,Round of 32,3,Europa League,VfB Stuttgart,172,Celtic,247,0,1,0,1
1515539,2026-02-26T17:45:00+00:00,FT,Round of 32,3,Europa League,Ferencvarosi TC,651,Ludogorets,566,2,0,2,0
1515535,2026-02-19T20:00:00+00:00,FT,Round of 32,3,Europa League,Lille,79,FK Crvena Zvezda,598,0,1,0,1
1515534,2026-02-19T20:00:00+00:00,FT,Round of 32,3,Europa League,Celtic,247,VfB Stuttgart,172,1,4,1,2
1515536,2026-02-19T20:00:00+00:00,FT,Round of 32,3,Europa League,Ludogorets,566,Ferencvarosi TC,651,2,1,1,1
1515537,2026-02-19T20:00:00+00:00,FT,Round of 32,3,Europa League,Panathinaikos,617,Plzen,567,2,2,1,1
1515530,2026-02-19T17:45:00+00:00,FT,Round of 32,3,Europa League,Brann,319,Bologna,500,0,1,0,1
1508941,2026-02-26T20:00:00+00:00,FT,Round of 32,848,Conference League,Crystal Palace,52,Zrinjski,588,2,0,1,0
1508939,2026-02-26T20:00:00+00:00,FT,Round of 32,848,Conference League,AZ Alkmaar,201,FC Noah,3684,4,0,2,0
1508944,2026-02-26T20:00:00+00:00,FT,Round of 32,848,Conference League,Lech Poznan,347,KuPS,1165,1,0,0,0
1508943,2026-02-26T20:00:00+00:00,FT,Round of 32,848,Conference League,Lausanne,1014,Sigma Olomouc,2250,1,2,1,2
1508945,2026-02-26T17:45:00+00:00,FT,Round of 32,848,Conference League,HNK Rijeka,561,Omonia Nicosia,3402,3,1,0,1
1508946,2026-02-26T17:45:00+00:00,FT,Round of 32,848,Conference League,Samsunspor,3603,Shkendija,609,4,0,0,0
1508940,2026-02-26T17:45:00+00:00,FT,Round of 32,848,Conference League,Celje,4360,Drita,14281,3,2,3,1
1508932,2026-02-19T20:00:00+00:00,FT,Round of 32,848,Conference League,Jagiellonia,336,Fiorentina,502,0,3,0,0
1508936,2026-02-19T20:00:00+00:00,FT,Round of 32,848,Conference League,Shkendija,609,Samsunspor,3603,0,1,0,0
1508935,2026-02-19T20:00:00+00:00,FT,Round of 32,848,Conference League,Omonia Nicosia,3402,HNK Rijeka,561,0,1,0,0
