fixture_id,date,status,round,league_id,league_name,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,ht_home,ht_away
1528319,2026-03-10T20:00:00+00:00,NS,Round of 16,2,Champions League,Newcastle,34,Barcelona,529,,,,
1528320,2026-03-10T20:00:00+00:00,NS,Round of 16,2,Champions League,Paris Saint Germain,85,Chelsea,49,,,,
1528322,2026-03-10T20:00:00+00:00,NS,Round of 16,2,Champions League,Bayer Leverkusen,168,Arsenal,42,,,,
1528325,2026-03-10T20:00:00+00:00,NS,Round of 16,2,Champions League,Bodo/Glimt,327,Sporting CP,228,,,,
1528324,2026-03-10T20:00:00+00:00,NS,Round of 16,2,Champions League,Atalanta,499,Bayern München,157,,,,
1528323,2026-03-10T20:00:00+00:00,NS,Round of 16,2,Champions League,Atletico Madrid,530,Tottenham,47,,,,
1528318,2026-03-10T20:00:00+00:00,NS,Round of 16,2,Champions League,Real Madrid,541,Manchester City,50,,,,
1528321,2026-03-10T20:00:00+00:00,NS,Round of 16,2,Champions League,Galatasaray,645,Liverpool,40,,,,
1528340,2026-03-12T20:00:00+00:00,NS,Round of 16,3,Europa League,Ferencvarosi TC,651,SC Braga,217,,,,
1528350,2026-03-12T20:00:00+00:00,NS,Round of 16,848,Conference League,Crystal Palace,52,AEK Larnaca,614,,,,
1528352,2026-03-12T20:00:00+00:00,NS,Round of 16,848,Conference League,AZ Alkmaar,201,Sparta Praha,628,,,,
1528355,2026-03-12T20:00:00+00:00,NS,Round of 16,848,Conference League,Lech Poznan,347,Shakhtar Donetsk,550,,,,
1528353,2026-03-12T20:00:00+00:00,NS,Round of 16,848,Conference League,Samsunspor,3603,Rayo Vallecano,728,,,,
1528354,2026-03-12T20:00:00+00:00,NS,Round of 16,848,Conference League,HNK Rijeka,561,Strasbourg,95,,,,
1528357,2026-03-12T20:00:00+00:00,NS,Round of 16,848,Conference League,Sigma Olomouc,2250,FSV Mainz 05,164,,,,
1528337,2026-03-12T20:00:00+00:00,NS,Round of 16,3,Europa League,Panathinaikos,617,Real Betis,543,,,,
1528356,2026-03-12T20:00:00+00:00,NS,Round of 16,848,Conference League,Celje,4360,AEK Athens FC,575,,,,
1528351,2026-03-12T20:00:00+00:00,NS,Round of 16,848,Conference League,Fiorentina,502,Raków Częstochowa,3491,,,,
1528338,2026-03-12T20:00:00+00:00,NS,Round of 16,3,Europa League,Celta Vigo,538,Lyon,80,,,,
1528341,2026-03-12T20:00:00+00:00,NS,Round of 16,3,Europa League,Genk,742,SC Freiburg,160,,,,
1528336,2026-03-12T20:00:00+00:00,NS,Round of 16,3,Europa League,VfB Stuttgart,172,FC Porto,212,,,,
1528334,2026-03-12T20:00:00+00:00,NS,Round of 16,3,Europa League,Lille,79,Aston Villa,66,,,,
1528339,2026-03-12T20:00:00+00:00,NS,Round of 16,3,Europa League,Nottingham Forest,65,FC Midtjylland,397,,,,
1528335,2026-03-12T20:00:00+00:00,NS,Round of 16,3,Europa League,Bologna,500,AS Roma,497,,,,
1528329,2026-03-17T20:00:00+00:00,NS,Round of 16,2,Champions League,Liverpool,40,Galatasaray,645,,,,
1528330,2026-03-17T20:00:00+00:00,NS,Round of 16,2,Champions League,Arsenal,42,Bayer Leverkusen,168,,,,
1528331,2026-03-17T20:00:00+00:00,NS,Round of 16,2,Champions League,Tottenham,47,Atletico Madrid,530,,,,
1528328,2026-03-17T20:00:00+00:00,NS,Round of 16,2,Champions League,Chelsea,49,Paris Saint Germain,85,,,,
1528326,2026-03-17T20:00:00+00:00,NS,Round of 16,2,Champions League,Manchester City,50,Real Madrid,541,,,,
1528332,2026-03-17T20:00:00+00:00,NS,Round of 16,2,Champions League,Bayern München,157,Atalanta,499,,,,
1528327,2026-03-17T20:00:00+00:00,NS,Round of 16,2,Champions League,Barcelona,529,Newcastle,34,,,,
1528333,2026-03-17T20:00:00+00:00,NS,Round of 16,2,Champions League,Sporting CP,228,Bodo/Glimt,327,,,,
1528343,2026-03-19T20:00:00+00:00,NS,Round of 16,3,Europa League,AS Roma,497,Bologna,500,,,,
1528347,2026-03-19T20:00:00+00:00,NS,Round of 16,3,Europa League,FC Midtjylland,397,Nottingham Forest,65,,,,
1528348,2026-03-19T20:00:00+00:00,NS,Round of 16,3,Europa League,SC Braga,217,Ferencvarosi TC,651,,,,
1528344,2026-03-19T20:00:00+00:00,NS,Round of 16,3,Europa League,FC Porto,212,VfB Stuttgart,172,,,,
1528349,2026-03-19T20:00:00+00:00,NS,Round of 16,3,Europa League,SC Freiburg,160,Genk,742,,,,
1528346,2026-03-19T20:00:00+00:00,NS,Round of 16,3,Europa League,Lyon,80,Celta Vigo,538,,,,
1528342,2026-03-19T20:00:00+00:00,NS,Round of 16,3,Europa League,Aston Villa,66,Lille,79,,,,
1528361,2026-03-19T20:00:00+00:00,NS,Round of 16,848,Conference League,Rayo Vallecano,728,Samsunspor,3603,,,,
